2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
600611.SS,600718.SS,600812.SS,600837.SS,600886.SS,601021.SS,601009.SS,601118.SS,601211.SS,601162.SS,601818.SS,601919.SS,601919.SS,601878.SS,601857.SS,601877.SS
600631.SS,600737.SS,600827.SS,600839.SS,600887.SS,601088.SS,601018.SS,601155.SS,601212.SS,601166.SS,601838.SS,601933.SS,601939.SS,601881.SS,601865.SS,601878.SS
600635.SS,600739.SS,600832.SS,600859.SS,600893.SS,601098.SS,601021.SS,601163.SS,601216.SS,601169.SS,601857.SS,601939.SS,601966.SS,601888.SS,601868.SS,601881.SS
600642.SS,600741.SS,600837.SS,600863.SS,600900.SS,601099.SS,601088.SS,601166.SS,601225.SS,601186.SS,601872.SS,601966.SS,601985.SS,601898.SS,601872.SS,601888.SS
600643.SS,600779.SS,600839.SS,600873.SS,600998.SS,601106.SS,601099.SS,601169.SS,601228.SS,601198.SS,601877.SS,601985.SS,601988.SS,601899.SS,601877.SS,601898.SS
600649.SS,600795.SS,600859.SS,600875.SS,600999.SS,601111.SS,601111.SS,601186.SS,601229.SS,601211.SS,601878.SS,601988.SS,601989.SS,601901.SS,601878.SS,601899.SS
600655.SS,600804.SS,600863.SS,600886.SS,601006.SS,601117.SS,601118.SS,601198.SS,601238.SS,601212.SS,601881.SS,601989.SS,601995.SS,601916.SS,601881.SS,601901.SS
600657.SS,600808.SS,600873.SS,600887.SS,601009.SS,601118.SS,601127.SS,601211.SS,601766.SS,601216.SS,601888.SS,601990.SS,601998.SS,601919.SS,601888.SS,601916.SS
600660.SS,600809.SS,600875.SS,600893.SS,601018.SS,601158.SS,601155.SS,601212.SS,601788.SS,601225.SS,601899.SS,601995.SS,603019.SS,601939.SS,601898.SS,601919.SS
600663.SS,600811.SS,600881.SS,600895.SS,601088.SS,601166.SS,601166.SS,601216.SS,601800.SS,601229.SS,601901.SS,601998.SS,603185.SS,601985.SS,601899.SS,601939.SS
600664.SS,600812.SS,600887.SS,600900.SS,601098.SS,601169.SS,601169.SS,601225.SS,601808.SS,601238.SS,601916.SS,603019.SS,603195.SS,601988.SS,601901.SS,601985.SS
600674.SS,600823.SS,600893.SS,600970.SS,601111.SS,601179.SS,601186.SS,601228.SS,601818.SS,601727.SS,601919.SS,603087.SS,603259.SS,601989.SS,601916.SS,601988.SS
600675.SS,600827.SS,600895.SS,600971.SS,601117.SS,601186.SS,601198.SS,601229.SS,601828.SS,601766.SS,601933.SS,603160.SS,603260.SS,601995.SS,601919.SS,601998.SS
600688.SS,600832.SS,600900.SS,600997.SS,601118.SS,601198.SS,601211.SS,601718.SS,601838.SS,601788.SS,601939.SS,603195.SS,603288.SS,601998.SS,601939.SS,603195.SS
600690.SS,600837.SS,600970.SS,600999.SS,601158.SS,601211.SS,601216.SS,601727.SS,601857.SS,601800.SS,601985.SS,603233.SS,603290.SS,603019.SS,601985.SS,603259.SS
600694.SS,600839.SS,600971.SS,601001.SS,601166.SS,601216.SS,601225.SS,601766.SS,601877.SS,601808.SS,601988.SS,603259.SS,603369.SS,603195.SS,601988.SS,603260.SS
600717.SS,600859.SS,600997.SS,601006.SS,601168.SS,601225.SS,601258.SS,601788.SS,601878.SS,601818.SS,601989.SS,603260.SS,603392.SS,603259.SS,601989.SS,603288.SS
600718.SS,600863.SS,600999.SS,601009.SS,601169.SS,601231.SS,601718.SS,601800.SS,601881.SS,601828.SS,601990.SS,603288.SS,603486.SS,603260.SS,601995.SS,603296.SS
600737.SS,600875.SS,601001.SS,601018.SS,601179.SS,601238.SS,601727.SS,601818.SS,601888.SS,601838.SS,601998.SS,603338.SS,603501.SS,603288.SS,601998.SS,603369.SS
600739.SS,600879.SS,601006.SS,601088.SS,601186.SS,601258.SS,601766.SS,601857.SS,601898.SS,601857.SS,603019.SS,603369.SS,603659.SS,603290.SS,603019.SS,603392.SS
600741.SS,600881.SS,601009.SS,601098.SS,601216.SS,601718.SS,601788.SS,601866.SS,601899.SS,601877.SS,603087.SS,603392.SS,603799.SS,603369.SS,603195.SS,603501.SS
600748.SS,600887.SS,601018.SS,601099.SS,601225.SS,601727.SS,601800.SS,601872.SS,601901.SS,601878.SS,603156.SS,603486.SS,603806.SS,603392.SS,603259.SS,603799.SS
600779.SS,600893.SS,601088.SS,601101.SS,601231.SS,601766.SS,601818.SS,601877.SS,601919.SS,601881.SS,603160.SS,603501.SS,603833.SS,603486.SS,603260.SS,603893.SS
600795.SS,600895.SS,601098.SS,601106.SS,601258.SS,601788.SS,601857.SS,601878.SS,601933.SS,601888.SS,603195.SS,603517.SS,603882.SS,603501.SS,603288.SS,603986.SS
600804.SS,600900.SS,601099.SS,601111.SS,601727.SS,601800.SS,601866.SS,601881.SS,601939.SS,601898.SS,603259.SS,603658.SS,603899.SS,603659.SS,603296.SS,603993.SS
600808.SS,600970.SS,601101.SS,601117.SS,601766.SS,601808.SS,601872.SS,601888.SS,601985.SS,601901.SS,603288.SS,603659.SS,603986.SS,603799.SS,603369.SS,605117.SS
600809.SS,600971.SS,601106.SS,601118.SS,601800.SS,601818.SS,601877.SS,601898.SS,601988.SS,601919.SS,603369.SS,603799.SS,603993.SS,603806.SS,603392.SS,605499.SS
