2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SMIN.L,SMIN.L,SRP.L,SMIN.L,SMIN.L,SHP.L,SGE.L,SHP.L,SGRO.L,SGRO.L,SGE.L,SGE.L,SHEL.L,SHEL.L,SDR.L,RSL.L
SN.L,SN.L,SSE.L,SN.L,SN.L,SL.L,SHP.L,SKG.L,SKG.L,SKG.L,SGRO.L,SGRO.L,SKG.L,SKG.L,SGE.L,RTO.L
SRP.L,SRP.L,STAN.L,SPD.L,SPD.L,SMIN.L,SKG.L,SL.L,SL.L,SL.L,SKG.L,SKG.L,SL.L,SL.L,SGRO.L,SAB.L
SSE.L,SSE.L,SVT.L,SSE.L,SSE.L,SN.L,SL.L,SMDS.L,SMDS.L,SMDS.L,SL.L,SL.L,SMDS.L,SMDS.L,SHEL.L,SBRY.L
STAN.L,STAN.L,TATE.L,STAN.L,STAN.L,SPD.L,SMIN.L,SMIN.L,SMIN.L,SMIN.L,SMDS.L,SMDS.L,SMIN.L,SMIN.L,SL.L,SDR.L
SVT.L,SVT.L,TLW.L,SVT.L,STJ.L,SSE.L,SN.L,SMT.L,SMT.L,SMT.L,SMIN.L,SMIN.L,SMT.L,SMT.L,SMDS.L,SGE.L
TLW.L,TATE.L,TSCO.L,TATE.L,SVT.L,STAN.L,SSE.L,SN.L,SN.L,SN.L,SMT.L,SMT.L,SN.L,SN.L,SMIN.L,SGRO.L
TSCO.L,TLW.L,TT.L,TLW.L,TLW.L,STJ.L,STAN.L,SSE.L,SPX.L,SPX.L,SN.L,SN.L,SPX.L,SPX.L,SMT.L,SHEL.L
TT.L,TSCO.L,ULVR.L,TPK.L,TPK.L,SVT.L,STJ.L,STAN.L,SSE.L,SSE.L,SPX.L,SPX.L,SSE.L,SSE.L,SN.L,SL.L
ULVR.L,ULVR.L,UU.L,TSCO.L,TSCO.L,TPK.L,SVT.L,STJ.L,STAN.L,STAN.L,SSE.L,SSE.L,STAN.L,STAN.L,SPX.L,SMDS.L
UU.L,UU.L,VED.L,TT.L,TUI.L,TSCO.L,TSCO.L,SVT.L,STJ.L,STJ.L,STAN.L,STAN.L,STJ.L,STJ.L,SSE.L,SMIN.L
VED.L,VED.L,VOD.L,ULVR.L,TW.L,TUI.L,TUI.L,TSCO.L,SVT.L,SVT.L,STJ.L,STJ.L,SVT.L,SVT.L,STAN.L,SMT.L
VOD.L,VOD.L,WEIR.L,UU.L,ULVR.L,TW.L,TW.L,TUI.L,TSCO.L,TSCO.L,SVT.L,SVT.L,TSCO.L,TSCO.L,STJ.L,SN.L
WEIR.L,WEIR.L,WG.L,VOD.L,UU.L,ULVR.L,ULVR.L,TW.L,TUI.L,TUI.L,TSCO.L,TSCO.L,TW.L,TW.L,SVT.L,SPX.L
WMH.L,WMH.L,WMH.L,WEIR.L,VOD.L,UU.L,UU.L,ULVR.L,TW.L,TW.L,TW.L,TW.L,ULVR.L,ULVR.L,TSCO.L,SSE.L
WOS.L,WOS.L,WOS.L,WMH.L,WEIR.L,VOD.L,VOD.L,UU.L,ULVR.L,ULVR.L,ULVR.L,ULVR.L,UTG.L,UTG.L,TW.L,STAN.L
WPP.L,WPP.L,WPP.L,WOS.L,WOS.L,WOS.L,WOS.L,VOD.L,UU.L,UU.L,UU.L,UU.L,UU.L,UU.L,ULVR.L,STJ.L
WTB.L,WTB.L,WTB.L,WPP.L,WPP.L,WPG.L,WPG.L,WOS.L,VOD.L,VOD.L,VOD.L,VOD.L,VOD.L,VOD.L,UTG.L,SVT.L
,,,WTB.L,WTB.L,WPP.L,WPP.L,WPG.L,WOS.L,WOS.L,WOS.L,WOS.L,WEIR.L,WEIR.L,UU.L,TSCO.L
,,,,,WTB.L,WTB.L,WPP.L,WPP.L,WPP.L,WPP.L,WPP.L,WOS.L,WOS.L,VOD.L,ULVR.L
,,,,,,,WTB.L,WTB.L,WTB.L,WTB.L,WTB.L,WPP.L,WPP.L,WEIR.L,UU.L
,,,,,,,,,,,,WTB.L,WTB.L,WOS.L,VOD.L
,,,,,,,,,,,,,,WPP.L,WEIR.L
,,,,,,,,,,,,,,WTB.L,WOS.L
,,,,,,,,,,,,,,,WTB.L
