2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CINF,CHRW,CHRW,CI,CINF,CI,CI,CF,CFG,CHD,CHTR,CHRW,CHRW,CFG,CHTR,CI
CL,CI,CI,CINF,CL,CINF,CINF,CFG,CHD,CHRW,CI,CHTR,CHTR,CHD,CI,CINF
CLF,CINF,CINF,CL,CLX,CL,CL,CHD,CHRW,CHTR,CINF,CI,CI,CHRW,CINF,CL
CLX,CL,CL,CLF,CMA,CLX,CLX,CHK,CHTR,CI,CL,CINF,CINF,CHTR,CL,CLX
CMA,CLF,CLF,CLX,CMCSA,CMA,CMA,CHRW,CI,CINF,CLX,CL,CL,CI,CLX,CMCSA
CMCSA,CLX,CLX,CMA,CME,CMCSA,CMCSA,CHTR,CINF,CL,CMA,CLX,CLX,CINF,CMCSA,CME
CME,CMA,CMA,CMCSA,CMG,CME,CME,CI,CL,CLX,CMCSA,CMA,CMA,CL,CME,CMG
CMI,CMCSA,CMCSA,CME,CMI,CMG,CMG,CINF,CLX,CMA,CME,CMCSA,CMCSA,CLX,CMG,CMI
CMS,CME,CME,CMG,CMS,CMI,CMI,CL,CMA,CMCSA,CMG,CME,CME,CMA,CMI,CMS
CNP,CMG,CMG,CMI,CNP,CMS,CMS,CLX,CMCSA,CME,CMI,CMG,CMG,CMCSA,CMS,CNC
CNX,CMI,CMI,CMS,CNX,CNP,CNC,CMA,CME,CMG,CMS,CMI,CMI,CME,CNC,CNP
COF,CMS,CMS,CNP,COF,CNX,CNP,CMCSA,CMG,CMI,CNC,CMS,CMS,CMG,CNP,COF
COL,CNP,CNP,CNX,COL,COF,COF,CME,CMI,CMS,CNP,CNC,CNC,CMI,COF,COIN
COP,CNX,CNX,COF,COP,COL,COL,CMG,CMS,CNC,COF,CNP,CNP,CMS,COO,COO
COR,COF,COF,COL,COR,COP,COO,CMI,CNC,CNP,COO,COF,COF,CNC,COP,COP
COST,COL,COL,COP,COST,COR,COP,CMS,CNP,COF,COP,COO,COO,CNP,COR,COR
CPB,COP,COP,COR,COV,COST,COR,CNC,COF,COO,COR,COP,COP,COF,COST,COST
CPRI,COR,COR,COST,CPB,CPB,COST,CNP,COO,COP,COST,COR,COR,COO,CPAY,CPAY
CPWR,COST,COST,COV,CPRI,CPGX,COTY,COF,COP,COR,CPB,COST,COST,COP,CPB,CPB
CRM,COV,COV,CPB,CRM,CPRI,CPB,COL,COR,COST,CPRT,CPB,CPB,COR,CPRT,CPRT
CSC,CPB,CPB,CPRI,CSC,CRM,CPRI,COO,COST,COTY,CRM,CPRT,CPRT,COST,CPT,CPT
CSCO,CPRI,CPRI,CRM,CSCO,CSCO,CRM,COP,COTY,CPB,CSCO,CRL,CPT,CPB,CRL,CRH
CSX,CRM,CRM,CSC,CSX,CSRA,CSCO,COR,CPB,CPRI,CSX,CRM,CRL,CPRT,CRM,CRL
CTAS,CSC,CSC,CSCO,CTAS,CSX,CSRA,COST,CPRI,CPRT,CTAS,CSCO,CRM,CPT,CRWD,CRM
CTRA,CSCO,CSCO,CSX,CTRA,CTAS,CSX,COTY,CPRT,CRM,CTLT,CSX,CSCO,CRL,CSCO,CRWD
CTSH,CSX,CSX,CTAS,CTSH,CTRA,CTAS,CPB,CRM,CSCO,CTRA,CTAS,CSGP,CRM,CSGP,CSCO
CTXS,CTAS,CTAS,CTRA,CTXS,CTSH,CTRA,CPRI,CSCO,CSX,CTSH,CTLT,CSX,CSCO,CSX,CSGP
CVC,CTRA,CTRA,CTSH,CVC,CTXS,CTSH,CRM,CSX,CTAS,CTVA,CTRA,CTAS,CSGP,CTAS,CSX
CVH,CTSH,CTSH,CTXS,CVS,CVC,CTXS,CSCO,CTAS,CTRA,CTXS,CTSH,CTLT,CSX,CTRA,CTAS
CVS,CTXS,CTXS,CVC,CVX,CVS,CVS,CSRA,CTRA,CTSH,CVS,CTVA,CTRA,CTAS,CTSH,CTRA
CVX,CVC,CVC,CVS,D,CVX,CVX,CSX,CTSH,CTVA,CVX,CTXS,CTSH,CTLT,CTVA,CTSH
D,CVH,CVH,CVX,DAL,D,CXO,CTAS,CTXS,CTXS,CXO,CVS,CTVA,CTRA,CVS,CTVA
DD,CVS,CVS,D,DD,DAL,D,CTRA,CVS,CVS,D,CVX,CVS,CTSH,CVX,CVNA
DE,CVX,CVX,DAL,DE,DD,DAL,CTSH,CVX,CVX,DAL,CZR,CVX,CTVA,CZR,CVS
DELL,D,D,DD,DFS,DE,DD,CTXS,CXO,CXO,DD,D,CZR,CVS,D,CVX
DF,DD,DD,DE,DG,DFS,DE,CVS,D,D,DE,DAL,D,CVX,DAL,D
DFS,DE,DE,DFS,DGX,DG,DFS,CVX,DAL,DAL,DFS,DD,DAL,CZR,DAY,DAL
DGX,DELL,DELL,DG,DHI,DGX,DG,CXO,DE,DD,DG,DE,DD,D,DD,DASH
DHI,DF,DF,DGX,DHR,DHI,DGX,D,DFS,DE,DGX,DFS,DE,DAL,DE,DAY
DHR,DFS,DFS,DHI,DIS,DHR,DHI,DAL,DG,DFS,DHI,DG,DFS,DD,DECK,DD
DIS,DGX,DG,DHR,DISCA,DIS,DHR,DE,DGX,DG,DHR,DGX,DG,DE,DELL,DDOG
DISCA,DHI,DGX,DIS,DISCK,DISCA,DIS,DFS,DHI,DGX,DIS,DHI,DGX,DFS,DFS,DE
DNB,DHR,DHI,DISCA,DLTR,DISCK,DISCA,DG,DHR,DHI,DISCA,DHR,DHI,DG,DG,DECK
DNR,DIS,DHR,DLTR,DNB,DLTR,DISCK,DGX,DIS,DHR,DISCK,DIS,DHR,DGX,DGX,DELL
DO,DISCA,DIS,DNB,DNR,DNB,DLR,DHI,DISCA,DIS,DISH,DISCA,DIS,DHI,DHI,DG
DOC,DLTR,DISCA,DNR,DO,DO,DLTR,DHR,DISCK,DISCA,DLR,DISCK,DISH,DHR,DHR,DGX
DOV,DNB,DLTR,DO,DOC,DOC,DNB,DIS,DISH,DISCK,DLTR,DISH,DLR,DIS,DIS,DHI
DOW,DNR,DNB,DOC,DOV,DOV,DOC,DISCA,DLR,DISH,DOC,DLR,DLTR,DLR,DLR,DHR
DPS,DO,DNR,DOV,DOW,DOW,DOV,DISCK,DLTR,DLR,DOV,DLTR,DOC,DLTR,DLTR,DIS
DRI,DOC,DO,DOW,DPS,DPS,DOW,DISH,DOC,DLTR,DOW,DOC,DOV,DOC,DOC,DLR
DTE,DOV,DOC,DPS,DRI,DRI,DPS,DLR,DOV,DOC,DPZ,DOV,DOW,DOV,DOV,DLTR
DTV,DOW,DOV,DRI,DTE,DTE,DRI,DLTR,DRE,DOV,DRE,DOW,DPZ,DOW,DOW,DOC
DUK,DPS,DOW,DTE,DTV,DUK,DTE,DOC,DRI,DOW,DRI,DPZ,DRI,DPZ,DPZ,DOV
DV,DRI,DPS,DTV,DUK,DVA,DUK,DOV,DTE,DRE,DTE,DRE,DTE,DRI,DRI,DOW
DVA,DTE,DRI,DUK,DVA,DVN,DVA,DPS,DUK,DRI,DUK,DRI,DUK,DTE,DTE,DPZ
DVN,DTV,DTE,DVA,DVN,EA,DVN,DRE,DVA,DTE,DVA,DTE,DVA,DUK,DUK,DRI
EA,DUK,DTV,DVN,EA,EBAY,EA,DRI,DVN,DUK,DVN,DUK,DVN,DVA,DVA,DTE
EBAY,DV,DUK,EA,EBAY,ECL,EBAY,DTE,DWDP,DVA,DXC,DVA,DXC,DVN,DVN,DUK
ECL,DVA,DVA,EBAY,ECL,ED,ECL,DUK,DXC,DVN,DXCM,DVN,DXCM,DXCM,DXCM,DVA
ED,DVN,DVN,ECL,ED,EFX,ED,DVA,EA,DXC,EA,DXC,EA,EA,EA,DVN
EFX,EA,EA,ED,EFX,EIX,EFX,DVN,EBAY,EA,EBAY,DXCM,EBAY,EBAY,EBAY,DXCM
EIX,EBAY,EBAY,EFX,EIX,EL,EIX,DWDP,ECL,EBAY,ECL,EA,ECL,ECL,ECL,EA
EL,ECL,ECL,EIX,EL,ELV,EL,DXC,ED,ECL,ED,EBAY,ED,ED,ED,EBAY
ELV,ED,ED,EL,ELV,EMC,ELV,EA,EFX,ED,EFX,ECL,EFX,EFX,EFX,ECL
EMC,EFX,EFX,ELV,EMC,EMN,EMN,EBAY,EIX,EFX,EIX,ED,EIX,EG,EG,ED
EMN,EIX,EIX,EMC,EMN,EMR,EMR,ECL,EL,EIX,EL,EFX,EL,EIX,EIX,EFX
EMR,EL,EL,EMN,EMR,ENDP,ENDP,ED,ELV,EL,ELV,EIX,ELV,EL,EL,EG
EOG,ELV,ELV,EMR,EOG,EOG,EOG,EFX,EMN,ELV,EMN,EL,EMN,ELV,ELV,EIX
EP,EMC,EMC,EOG,EQR,EQIX,EQIX,EIX,EMR,EMN,EMR,ELV,EMR,EMN,EMN,EL
EQR,EMN,EMN,EQR,EQT,EQR,EQR,EL,EOG,EMR,EOG,EMN,ENPH,EMR,EMR,ELV
EQT,EMR,EMR,EQT,ES,EQT,EQT,ELV,EQIX,EOG,EQIX,EMR,EOG,ENPH,ENPH,EME
ES,EOG,EOG,ES,ESRX,ES,ES,EMN,EQR,EQIX,EQR,ENPH,EPAM,EOG,EOG,EMR
ESRX,EP,EQR,ESRX,ESS,ESRX,ESRX,EMR,ES,EQR,ES,EOG,EQIX,EPAM,EPAM,EOG
ETFC,EQR,EQT,ESV,ESV,ESS,ESS,EOG,ESS,ES,ESS,EPAM,EQR,EQIX,EQIX,EPAM
ETN,EQT,ES,ETFC,ETFC,ESV,ETFC,EQIX,ETFC,ESS,ETN,EQIX,EQT,EQR,EQR,EQIX
ETR,ES,ESRX,ETN,ETN,ETFC,ETN,EQR,ETN,ETFC,ETR,EQR,ES,EQT,EQT,EQR
EXC,ESRX,ESV,ETR,ETR,ETN,ETR,EQT,ETR,ETN,ETSY,ES,ESS,ES,ERIE,EQT
EXPD,ETFC,ETFC,EW,EW,ETR,EVHC,ES,EVRG,ETR,EVRG,ESS,ETN,ESS,ES,ERIE
EXPE,ETN,ETN,EXC,EXC,EW,EW,ESRX,EW,EVRG,EW,ETN,ETR,ETN,ESS,ES
F,ETR,ETR,EXPD,EXPD,EXC,EXC,ESS,EXC,EW,EXC,ETR,ETSY,ETR,ETN,ESS
FAST,EW,EW,EXPE,EXPE,EXPD,EXPD,ETFC,EXPD,EXC,EXPD,ETSY,EVRG,ETSY,ETR,ETN
FCX,EXC,EXC,F,F,EXPE,EXPE,ETN,EXPE,EXPD,EXPE,EVRG,EW,EVRG,EVRG,ETR
FDO,EXPD,EXPD,FAST,FAST,F,EXR,ETR,EXR,EXPE,EXR,EW,EXC,EW,EW,EVRG
FDX,EXPE,EXPE,FCX,FCX,FAST,F,EVHC,F,EXR,F,EXC,EXPD,EXC,EXC,EW
FE,F,F,FDO,FDO,FCX,FAST,EW,FANG,F,FANG,EXPD,EXPE,EXPD,EXPD,EXC
FFIV,FAST,FAST,FDX,FDX,FDX,FBHS,EXC,FAST,FANG,FAST,EXPE,EXR,EXPE,EXPE,EXE
FHN,FCX,FCX,FE,FE,FE,FCX,EXPD,FBHS,FAST,FBHS,EXR,F,EXR,EXR,EXPD
FII,FDO,FDO,FFIV,FFIV,FFIV,FDX,EXPE,FCX,FBHS,FCX,F,FANG,F,F,EXPE
FIS,FDX,FDX,FIS,FIS,FIS,FE,EXR,FDX,FCX,FDX,FANG,FAST,FANG,FANG,EXR
FISV,FE,FE,FISV,FISV,FISV,FFIV,F,FE,FDX,FE,FAST,FCX,FAST,FAST,F
FITB,FFIV,FFIV,FITB,FITB,FITB,FIS,FAST,FFIV,FE,FFIV,FBHS,FDS,FCX,FCX,FANG
FLIR,FHN,FHN,FLIR,FLIR,FLIR,FISV,FBHS,FIS,FFIV,FIS,FCX,FDX,FDS,FDS,FAST
FLR,FII,FII,FLR,FLR,FLR,FITB,FCX,FISV,FIS,FISV,FDS,FE,FDX,FDX,FCX
FLS,FIS,FIS,FLS,FLS,FLS,FL,FDX,FITB,FISV,FITB,FDX,FFIV,FE,FE,FDS
FMC,FISV,FISV,FMC,FMC,FMC,FLIR,FE,FL,FITB,FLIR,FE,FIS,FFIV,FFIV,FDX
FOXA,FITB,FITB,FOSL,FOSL,FOSL,FLR,FFIV,FLIR,FLIR,FLS,FFIV,FISV,FICO,FICO,FE
FRX,FLIR,FLIR,FOXA,FOXA,FOX,FLS,FIS,FLR,FLS,FLT,FIS,FITB,FIS,FIS,FFIV
FSLR,FLR,FLR,FRX,FSLR,FOXA,FMC,FISV,FLS,FLT,FMC,FISV,FLT,FISV,FISV,FICO
FTI,FLS,FLS,FSLR,FTI,FSLR,FOX,FITB,FLT,FMC,FOX,FITB,FMC,FITB,FITB,FIS
FTR,FMC,FMC,FTI,FTR,FTI,FOXA,FL,FMC,FOX,FOXA,FLT,FOX,FLT,FMC,FISV
GAS,FOXA,FOSL,FTR,GAS,FTR,FRT,FLIR,FOX,FOXA,FRC,FMC,FOXA,FMC,FOX,FITB
GD,FRX,FOXA,GAS,GD,GAS,FSLR,FLR,FOXA,FRC,FRT,FOX,FRC,FOX,FOXA,FIX
GE,FSLR,FRX,GD,GE,GD,FTI,FLS,FRT,FRT,FTI,FOXA,FRT,FOXA,FRT,FOX
GEN,FTI,FSLR,GE,GEN,GE,FTR,FMC,FTI,FTI,FTNT,FRC,FSLR,FRT,FSLR,FOXA
GENZ,FTR,FTI,GEN,GGP,GEN,FTV,FOX,FTNT,FTNT,FTV,FRT,FTNT,FSLR,FTNT,FRT
GHC,GAS,FTR,GGP,GILD,GGP,GD,FOXA,FTV,FTV,GD,FTNT,FTV,FTNT,FTV,FSLR
GILD,GD,GAS,GHC,GIS,GILD,GE,FRT,GD,GD,GE,FTV,GD,FTV,GD,FTNT
GIS,GE,GD,GILD,GL,GIS,GEN,FTI,GE,GE,GEN,GD,GE,GD,GDDY,FTV
GL,GEN,GE,GIS,GLW,GL,GGP,FTV,GEN,GEN,GILD,GE,GEN,GE,GE,GD
GLW,GHC,GEN,GL,GM,GLW,GILD,GD,GILD,GILD,GIS,GEN,GILD,GEHC,GEHC,GDDY
GME,GILD,GHC,GLW,GMCR,GM,GIS,GE,GIS,GIS,GL,GILD,GIS,GEN,GEN,GE
GNW,GIS,GILD,GM,GME,GMCR,GL,GEN,GL,GL,GLW,GIS,GL,GILD,GEV,GEHC
GOOG,GL,GIS,GME,GNW,GME,GLW,GGP,GLW,GLW,GM,GL,GLW,GIS,GILD,GEN
GPC,GLW,GL,GNW,GOOG,GOOG,GM,GILD,GM,GM,GOOG,GLW,GM,GL,GIS,GEV
GPS,GME,GLW,GOOG,GOOGL,GOOGL,GOOG,GIS,GOOG,GOOG,GOOGL,GM,GNRC,GLW,GL,GILD
GR,GNW,GME,GPC,GPC,GPC,GOOGL,GL,GOOGL,GOOGL,GPC,GNRC,GOOG,GM,GLW,GIS
GS,GOOG,GNW,GPS,GPS,GPS,GPC,GLW,GPC,GPC,GPN,GOOG,GOOGL,GNRC,GM,GL
GT,GPC,GOOG,GRMN,GRMN,GRMN,GPN,GM,GPN,GPN,GPS,GOOGL,GPC,GOOG,GNRC,GLW
GWW,GPS,GPC,GS,GS,GS,GPS,GOOG,GPS,GPS,GRMN,GPC,GPN,GOOGL,GOOG,GM
HAL,GR,GPS,GT,GT,GT,GRMN,GOOGL,GRMN,GRMN,GS,GPN,GRMN,GPC,GOOGL,GNRC
HAR,GS,GRMN,GWW,GWW,GWW,GS,GPC,GS,GS,GWW,GPS,GS,GPN,GPC,GOOG
HAS,GT,GS,HAL,HAL,HAL,GT,GPN,GT,GWW,HAL,GRMN,GWW,GRMN,GPN,GOOGL
